latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
46.8885,-1.8339,castle,C15,PA00110123,Q22962984,Château (ancien),,,fr:Château de La Garnache
46.8636,-1.9796,,,PA00110269,Q22963113,Moulin à vent de Rairé,3,1976-03-16 ,
46.5352,-1.2209,place_of_worship,christian,PA00110165,Q22963019,,2,1877-07-14 ,
47.0005,-2.2421,,C11,PA00110182,Q2970156,Ancien château,2,1994-07-18 ,fr:Château de Noirmoutier
46.4772,-1.5109,archaeological_site,megalith,PA00110024,Q22962900,Menhir,2,1889 ,
47.0427,-2.3601,,C19,PA85000048,Q2085060,Phares de l'Ile du Pilier,2,2012-10-03 ,fr:Phare du Pilier
46.4523,-0.6959,,C14,PA85000023,Q22998997,Ancien prieuré,3,2005-08-22 ,
46.5481,-1.1545,,C16,PA85000003,Q22998964,Logis de la Mothe-Orson,3,1996-10-22 ,
46.8223,-0.7767,,C15,PA00110255,Q22963100,Logis et chapelle de l'Audrière,3,1988-06-06 ,
46.6368,-0.9454,castle,manor,PA00110063,Q22962932,Manoir de La Ray,3,1984-12-05 ,
46.3776,-1.0826,building,C15,PA85000020,Q22998983,Maison dite Les Grands Greniers ou Maison du Temple,3,2004-02-23 ,
46.7175,-2.3819,,C20,PA85000045,Q3378459,Le Grand Phare,3,2011-11-29 ,fr:Phare de l'île d'Yeu
46.7319,-0.7111,place_of_worship,christian,PA00110300,Q22963149,,3,1991-02-22 ,
46.9356,-1.5136,bridge,,PA00110218,Q22963063,Pont sur La Boulogne sur le C.D. 7,3,1984-08-29 ,
46.6118,-1.5778,,C15,PA00135562,Q22994852,Bâtiments du Gué,3,1995-08-28 ,
46.4548,-1.1671,building,C18,PA85000040,Q22999039,Hôtel de Rorthais de Marmende,3,2010-12-02 ,
46.4778,-1.5076,,,PA00110028,Q22962905,Pierre branlante,2,1889 ,
46.8599,-1.2542,castle,C17,PA85000018,Q2969572,,3,2001-10-30 ,fr:Château de La Rabatelière
46.8701,-1.0123,,C19,PA00110132,Q22962992,Bains et lavoirs publics (anciens),3,1980-11-06 ,
46.478,-0.7017,castle,C16,PA00110290,Q22963136,Château des Chassenon,2,1956-11-14 ,fr:Château des Chassenon
46.5699,-0.9239,castle,C16,PA00110251,Q22963097,Château du Plessis-le-Franc,3,1984-10-11 ,
46.6117,-1.8494,archaeological_site,megalith,PA00110060,Q17233183,Dolmen dit La Pierre Levée de Soubise,3,1984-02-08 ,
46.6323,-1.2659,,C15,PA00110299,Q22963148,Logis de la Barre,3,1990-06-29 ,
46.465,-1.0815,,C15,PA85000016,Q22998973,Logis de Chavigny,3,1999-02-03 ,
